pl_orbper,pl_orbsmax,pl_orbeccen,pl_trandur,pl_trandep,pl_imppar,pl_eqt,pl_insol,pl_bmasse,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,pl_rade
13.17562,0.1189,0.0,6.7,0.02977,0.44,1009.0,241.759,0.39,5904.0,1.82,1.291,0.025,4.027,1209.16,3.2
9.48961571,0.0895,0.0,3.5282,0.02622,0.4764,926.0,311.788,4.08,5713.0,1.13,1.02,0.15,4.33,969.918,1.85
17.833648,0.1226,0.17,4.5403,0.03279,0.773,866.0,159.5,8.44,6273.0,1.352,1.214,0.01,4.261,147.527,2.838
5.960392,0.064,0.0,2.765,0.08239,0.75,890.0,149.977,8.75,5378.0,0.95,0.99,0.322,4.465,268.881,2.9
31.7844,0.2138,0.0,8.9,0.0467,0.47,752.0,74.72,5.57,5904.0,1.82,1.291,0.025,4.027,1209.16,4.02
5.66793,0.0677,0.0,4.88,0.00868,0.5,1336.0,744.011,3.68,5904.0,1.82,1.291,0.025,4.027,1209.16,1.74
4.662715,0.056,0.0,2.746,0.16194,0.07,1039.0,333.149,19.9,5746.0,1.189,1.073,0.332,4.325,489.141,4.71
2.461069,0.035,0.0,2.293,0.00809,0.21,1195.0,488.674,0.498,5378.0,0.95,0.99,0.322,4.465,268.881,0.83
33.60134,0.1968,0.01,4.4539,0.74259,0.757,543.0,10.9,1907.0,5155.0,0.938,0.902,0.41,4.447,777.06,9.057
27.50868,0.178,0.0,6.1,0.064,0.38,683.0,46.011,8.75,5879.0,1.17,1.0,0.02,4.29,316.663,2.9
86.67856,0.39249,0.2,10.224,0.82441,0.23,434.0,8.877,349.6112477,5820.0,1.09,0.98,-0.05,4.35,1002.53,13.45
41.02902,0.2535,0.0,9.87,0.0579,0.43,691.0,53.183,9.6,5904.0,1.82,1.291,0.025,4.027,1209.16,4.46
21.77596,0.1662,0.0,8.011,0.08314,0.44,853.0,123.691,3.91,5904.0,1.82,1.291,0.025,4.027,1209.16,5.35
7.8773565,0.0637,0.0,2.4223,0.14616,0.04,553.0,22.72,135.0,4075.0,0.52,0.54,0.0,4.74,321.542,2.1
10.2184954,0.09291,0.04,4.3967,0.04453,0.779,920.0,112.992,35.5,5843.0,1.03,0.95,0.1,4.39,969.252,2.78
122.3874,0.427,0.0,6.92,0.07,0.06,270.0,1.352,36.0,4925.0,0.64,0.69,-0.37,4.68,300.874,1.61
5.326718,0.061,0.0,3.387,0.06114,0.62,1007.0,604.9,6.66,5847.0,0.959,0.92,0.4,4.5,2257.32,2.47
40.714955,0.232,0.0,8.692,0.05639,0.7,516.0,43.248,5.69,5986.0,0.9,1.07,0.04,4.532,1098.45,2.25
160.018032,0.571,0.0,5.15,0.15528,0.62,306.0,2.446,14.9,5381.0,0.953,1.013,0.3805,4.465,571.034,3.96
30.950851,0.17,0.0,4.196,0.03014,0.43,428.0,10.499,1.41,4984.0,0.636,0.706,-0.46,4.669,420.046,1.11
48.648,0.24666,0.0,4.563,0.06211,0.89688,489.0,11.274,16.3,5693.0,1.03,1.1,-0.29,4.46,1144.86,2.8
