pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist
,330,30.2643,3496,,,2200,,,,,4371,0.27,0.33,,134.846
17.812,0.1423,4.26,16.8,0.2,,877,,,,,6196,1.26,1.21,,62.5388
10.03,0.0973,3.31,10.94,0.22,,1239,,,,,6196,1.26,1.21,,62.5388
3.1417,0.04467,2.02,4.72,0.36,,1632,,,,,6196,1.26,1.21,,62.5388
5.516,0.0651,1.86,4.13,0.07,,1314,,,,,6196,1.26,1.21,,62.5388
5.203,0.06638,14.2,171.48,0.06,,1000,,,,,6500,1.78,1.41,,137.94
3.168,0.04789,8.26,51.79,0.28,,,,,,,6500,1.78,1.41,,137.94
16.491,0.1432,11.6,91.79,0.1,,,,,,,6500,1.78,1.41,,137.94
5.59,0.05958,1.44,2.67,0.42,,854,,,,,5138,0.91,0.9,0.18,46.8917
3.4982,0.04853,3.53,12.2,0.063,,,,,,,6400,1.38,1.25,-0.007,25.3284
7.6027,0.0779,2.28,5.8,0.34,,,,,,,6182.09,1.27,1.079,0.32,54.6303
36.441,0.2206,3.74,13.47,0.31,,,,,,,6182.09,1.27,1.079,0.32,54.6303
4.984,0.05873,9.13,61.39,0.1,,,,,,,5996.82,1.53949,1.09,,101.386
62.915,0.3098,10.8,81.09,0.275,,,,,,,6009,1.24,0.99,,76.1335
12.733,0.1097,3.89,14.43,0.25,,,,,,,6092,1.26,1.1,,109.539
10220,8.19,12.7,1995.88832,0.39,,,,,,,13500,0.0115,0.69,,305.684
8.138268,,5.7,413.179,0,115.8276,850,89.5,0.18,0.2936,3.1764,5428,0.964,1.01,0,44.0622
6.7987,0.0349,1.047,1.15,0,,,89.0025,0.46,,,3648,0.282,0.287,-0.048,134
28.1656,,1.87,4.16,,,,,0.24,0.316,3.36,3587,0.374,0.41,,159.259
0.72091,,1.5,2.86,,,,88.5,,,,5633,0.94,0.93,-0.053,706.391
2.13174,,0.692,0.26,,,,,0.21,,,4991,0.554,0.78,-0.0892,253.026
0.87724,0.0177,1.565,7.67,0,2852,2038,78.2,0.814,0.025,1.0008,5679,0.98,0.958,0.01,232.1
3.80464,,1.22,1.98,,,,,0.61,,,5960,1.61,1.073,0.09,476.882
2.71578,,1.03,1.08,,,,,0.21,,,4761,0.544,0.67,-0.33,334.967
2.0478,0.0296,0.90819,0.688,0,,,89.2757,0.12,,,4520,0.655,0.727,-0.003,577.6
3.96151,,1,0.972,,,,,0.4,0.0485,2.16,4326,0.634,0.611,-0.1132,257.443
4.1698,0.035,1.04,1.12,,,,89.001,0.21,0.0447,2.4,5053,0.628461,0.802,0,436.488
8.050722,,1.31,2.27,,,960.6,89.81,0.064,0.0303,3.72,5502.7,0.83,0.877,-0.13,243.935
4.50756,,1.7,3.53,,,,,0.7,0.0267,2.184,5724,0.823,0.928,-0.22,369.888
0.911724,,1.4,2.54,,,,91.7,0.96,0.0179,1.416,5724,1.1,0.928,-0.22,369.888
14.647531,,2.6,7.27,,,,90,0.94,0.0872,4.008,5724,1.1,0.928,-0.22,369.888
2.87814,,1.01,1.01,,,,,0.26,,,3489,0.37344,0.221,,161.365
5.2986,,1.7,3.53,,,,90.5,0.26,0.197,3.144,4114,0.5,0.565,0.006,451.769
0.354884,,1.2,1.87,,,,89.9,0.25,0.0553,1.07,4114,0.5,0.565,0.006,451.769
2.255436,,1,0.972,,,,89.9,0.28,0.269,0.984,3297,0.25,0.407,-0.33,109.888
1.58252,,0.96,0.84,,,,,0.57,0.03,1.752,4752,0.669,0.711,0.019,314.35
17.515472,,2.094,5.03,,,,,0.268,0.0948,3.936,4752,0.758,0.832,0.019,314.35
21.1701963,0.1195,1.92,4.35,0.06,3.5,431,89.73,0.38,0.1041,3.576,4057,0.58,0.62,0.2,186.197
19.49221,0.1493,5.76,11,0,101,817,87.9,0.58,0.17,3.91,6069,1.39,1.17,0.1,181.69
2.289363,,1.48,2.79,,,1149,,0.41,0.0535,1.88,5171,0.8,0.83,-0.03,418.395
5.213965,,2.27,5.77,,,866,,0.39,0.0828,2.62,5171,0.8,0.83,-0.03,418.395
18.0983,,2.17,5.35,,,,,0.74,0.0298,4.32,5782.33,1.2247,1.106,,611.804
34.885,,1.6,3.19,,,,,0.28,,,4982.79,0.757541,0.912,,283.29
15.28078,,1.26,2.13,,,756,,0.43,0.0187,3.46,6004,0.98,0.99,-0.18,320.07
23.228555,,2.32,5.99,,,658,89.42115,0.43,0.0506,3.25,6004,0.98,0.99,-0.18,320.07
0.578657,,1.2,1.87,,,,90.3,,,,5765,0.93,1,-0.39,561.929
11.811437,,2.3,5.9,,,,90,,0.0722,2.064,5765,0.93,1,-0.39,561.929
13.603,0.098,2.586,7.2,0.2,,536,89.071,0.479,0.11,2.976,4684,0.673,0.69,-0.137,336.25
65.55,0.28,2.69,7.7,0.2,,316,89.63,0.567,0.11,4.608,4684,0.673,0.69,-0.137,336.25
0.762406,,0.99,0.937,,,,92.6,,,,5620,0.89,0.95,0.28,624.512
0.70531,,1.6,3.19,,,,91.3,0.25,0.0262,1.704,5499,1,0.94,-0.23,496.289
0.57130782,0.0132,1.606,7.54,0,4656,2324,88.5,0.0766,0.02847,1.599,5578,0.99,0.913,-0.005,244.59
13.340603,0.1078,2.712,7.9,0.18,70,838,89.34,0.2603,0.0903,3.7822,5578,0.99,0.913,-0.005,244.59
0.728113,,1.1,1.37,,,932,89.7,0.49,0.068,0.7992,3782,0.32,0.418179,-0.18,150.124
16.141132,0.1237,2.332,10.4,0.23,69.7,804,88.08,0.38,0.036,2.1,5868,0.999,0.97,-0.12,121.971
6.180235,0.07229,11.780659,953.49,,642,1401,86.21,0.647,0.464,4.10808,6202,1.586,1.317,0.141,372.632
3650,4.5,12.44199,4131.79,0,0.19,183,89.87,0.79,0.18,53.6,4898,2.7,0.9,-0.23,551.886
3.5951,0.047,1.95,8.75,0.06,1037,1616,86.14,0.42,,4.33,5430,1.71,1.05,0.2,321.296
15.624,0.13,3.67,14.67,0.07,160,990,87.94,0.6,,6.37,5430,1.71,1.05,0.2,321.296
35.747,0.22,3.94,10.18,0.15,53,752,89.47,0.25,,9.56,5430,1.71,1.05,0.2,321.296
,800,12.2,5085.28,,,2375,,,,,2838,,0.05,,133.4950466
2.27476,0.01723,1.02,1.03,0,7.06,453.6,,,,,2999,0.170718,0.132,,9.53114
1219,1.137,3.87,14.3,0.676,0.0016,55.9,,,,,2999,0.170718,0.132,,9.53114
,350,12,8263.538582,,,1670,,,,,3517,0.522432,0.519782,,21.7912
5.4536,0.02971,1.1,1.37,0,1.8,322.3,,,,,2907,0.153162,0.118,,10.6267
2.30538,0.02279,1.39,2.5,,20.5,587,,,,,3326,0.305,0.297,0.1,16.009
8.0518,0.0525,1.76,3.75,,3.87,387,,,,,3326,0.305,0.297,0.1,16.009
1.43263,0.01283,1.13,1.52,0,13.57,534,,,,,,0.177,0.137,,
5.7459982,0.0418,1.9,4,0,6.27,440.6,89.03,0.513,0.365,1.693,3395,0.3026,0.2952,-0.07,27.9276
10.3465,0.0457,1.03,1.08,,0.67,230.9,,,,,3024,0.137,0.12,-0.25,4.84867
21.202,0.0738,1.1,1.36,,0.257,181.7,,,,,3024,0.137,0.12,-0.25,4.84867
3.2073,0.021,1.04,1.11,0.05,3.8,,77,,,,2953,0.156,0.12,-0.08,3.67278
6.6821,0.0342,1.19,1.81,0.02,1.4,,,,,,2953,0.156,0.12,-0.08,3.67278
13.066,0.054,1.16,1.67,0.04,0.6,,,,,,2953,0.156,0.12,-0.08,3.67278
